EmployeeID,Interview,Extraversion,PhysAbility,WorkSample
EE1767,4.1,3,1,6.3
EE1768,4.6,3.8,1,5.8
EE1769,6,3,0,6
EE1770,4.5,3.1,0,7.1
EE1771,6.1,2.4,1,4.6
EE1772,3.2,2.2,1,5
EE1773,5.9,4,1,5.4
EE1774,7,4.3,0,6.2
EE1775,3.3,2,0,4.4
EE1776,3.8,3.1,0,4.5
EE1777,3.7,4.4,0,5.7
EE1778,3.4,2.4,1,4.4
EE1779,4.9,3.6,1,3.8
EE1780,5,2,1,4.9
EE1781,6.9,1.8,0,4.6
EE1782,5.9,4.4,0,6.8
EE1783,3.7,3,0,7.7
EE1784,4.9,3,1,7.7
EE1785,6,4.1,0,4.8
EE1786,7,3.3,0,4.3
EE1787,4.9,4.7,1,6.5
EE1788,5,4.4,1,8
EE1789,5.3,3.8,1,9.3
EE1790,4.6,3.3,0,5.4
EE1791,3.6,3.6,1,5.3
EE1792,5.5,4.5,0,6.9
EE1793,4.7,2.9,0,5.7
EE1794,6.3,4.7,1,6.2
EE1795,2.4,4,0,5.7
EE1796,5.4,3.1,0,5.6
EE1797,7,2.4,0,4.6
EE1798,4.5,1,0,3.8
EE1799,4.3,3.5,0,3.9
EE1800,3.3,4.3,1,7
EE1801,4.3,3.8,0,5
EE1802,3.8,2.5,1,5.5
EE1803,5.3,3.9,1,6.7
EE1804,6,2.1,0,4.4
EE1805,4.9,4.3,0,4.8
EE1806,5.7,3.9,1,4.9
EE1807,7,2.4,0,5
EE1808,4.6,2.3,0,6.8
EE1809,5.4,2.2,1,7.5
EE1810,5.8,3.8,1,5.1
EE1811,4.4,3.2,0,4.9
EE1812,6.2,2.8,1,6.7
EE1813,5.1,3.3,1,4
EE1814,5,3.8,1,6.4
EE1815,3.1,2.3,1,7
EE1816,3.8,2.4,1,5.3
EE1817,4.3,2.9,0,7.1
EE1818,5.9,4.7,0,6.1
EE1819,4,3.1,0,5
EE1820,4.8,3.1,0,6.2
EE1821,5.3,1.3,0,4.6
EE1822,7,2.5,0,7.2
EE1823,4.4,3.5,1,5.1
EE1824,7,3.3,0,4.9
EE1825,5.4,3.5,1,6.7
EE1826,4.6,3.8,0,4.5
EE1827,4.2,2.9,1,6.9
EE1828,3.2,1.1,1,6.6
EE1829,7,3.3,1,7.3
EE1830,4.8,2.5,1,5.6
EE1831,6,1,1,6
EE1832,6.3,5,0,5.2
EE1833,3.9,4.3,0,6
EE1834,4.9,2.6,1,5.7
EE1835,5,3.2,1,5.6
EE1836,6,3.9,0,4.7
EE1837,4.9,2.5,1,5.3
EE1838,4.8,4,0,4.2
EE1839,5.2,4.9,1,3.7
EE1840,5.2,4.7,1,4.4
EE1841,5.1,4.1,1,5
EE1842,6.4,4.9,0,7.5
EE1843,4,3,1,5.7
EE1844,5.6,3.4,1,7.9
EE1845,5.8,3.8,0,5.7
EE1846,4.5,3.9,1,6.9
EE1847,4.3,2.8,0,5.4
EE1848,4.5,3,1,4.5
EE1849,5.2,2.3,1,5.2
EE1850,5.9,3,0,6.5
EE1851,5.1,4.3,1,4.6
EE1852,3.3,4.1,1,4.8
EE1853,3.4,2.2,0,5.9
EE1854,6.1,3.9,0,7
EE1855,4.5,4.4,0,5.1
EE1856,4.8,3.6,1,4.2
EE1857,4.5,2.9,0,5.6
EE1858,4.9,3.5,0,3.9
EE1859,5.1,3.2,0,7.1
EE1860,5.6,3.3,1,8.6
EE1861,3.3,3.2,1,5.5
EE1862,6.2,2.2,0,6.7
EE1863,5.6,4.2,0,3.8
EE1864,5.5,2.7,0,5.1
EE1865,4.6,3.4,0,7
EE1866,3,3.5,1,6.1
EE1867,5.2,2.4,1,5.2
EE1868,5.5,1.7,1,6.7
EE1869,7,2.7,1,6.1
EE1870,4.5,1.8,1,5.7
EE1871,4.6,2.8,0,4.2
EE1872,3.9,2.2,1,6.6
EE1873,4.8,3.2,0,5.2
EE1874,6.1,3.8,1,5.8
EE1875,5.5,3.9,0,8
EE1876,4.5,4,0,8.6
EE1877,4.1,2.8,0,6.7
EE1878,3.9,1.5,1,6.1
EE1879,6.1,4,0,6.9
EE1880,5.3,2.2,0,2.9
EE1881,3.7,2,0,4.3
EE1882,4.9,2,0,5.1
EE1883,1.9,3.9,1,5.7
EE1884,7,4,1,5.8
EE1885,4.9,3.1,0,5
EE1886,4.8,3,1,7
EE1887,4.2,2.7,0,8.1
EE1888,2.6,3.5,0,6.4
EE1889,5,3.4,0,5.8
EE1890,4.2,3.5,0,4.8
EE1891,3,2.6,0,5.8
EE1892,3.3,3.1,1,6.5
EE1893,4.7,3.4,0,6.1
EE1894,7,2.1,0,6.1
EE1895,5.5,3.5,0,6
EE1896,3.9,2.9,1,7.4
EE1897,4.2,1.9,0,6
EE1898,4.8,4,1,5.4
EE1899,5.3,1.6,0,5.2
EE1900,3.9,2.3,1,5.1
EE1901,5.6,3.4,1,6.3
EE1902,7,4.3,0,3.9
EE1903,6.4,3,0,5.8
EE1904,5.3,3.3,1,6.4
EE1905,4.2,2.2,1,5.3
EE1906,6.1,2.1,0,6.7
EE1907,5.6,2.6,1,4.5
EE1908,5.3,2.8,0,6
EE1909,6.1,2.6,0,7
EE1910,5.2,2.5,1,4.8
EE1911,7,5,1,6.3
EE1912,6,3.4,1,6.9
EE1913,5.4,1.4,1,4.9
EE1914,4.7,3.3,1,5.8
EE1915,5.6,2.4,1,4.1
EE1916,4.3,2,1,4.3
EE1917,6.2,2.1,0,5
EE1918,4.8,3.6,0,6.9
EE1919,5.1,4.2,1,8.1
EE1920,3.9,1.5,1,4
EE1921,6.1,4.5,0,5.3
EE1922,4.3,4.4,0,6.2
EE1923,6.8,2.7,1,7.4
EE1924,5,3.1,0,4.8
EE1925,4.7,3.1,0,6.2
EE1926,3.9,1.7,1,5.7
EE1927,4.1,3.1,1,6.6
EE1928,5.7,4.1,0,5.3
EE1929,7,2.9,0,5.3
EE1930,5.3,4,1,5.5
EE1931,7,2.9,0,7
EE1932,5,2.4,0,6.3
EE1933,6.3,3,1,6.3
EE1934,4.7,3.4,0,6.1
EE1935,4.4,4.5,1,6.3
EE1936,4.2,3,1,5.7
EE1937,4.3,3.3,0,6.1
EE1938,4,2.2,1,4.5
EE1939,4.7,3.6,0,5.7
EE1940,6.3,4.5,1,6.6
EE1941,5.5,2.9,1,5.3
EE1942,3.1,3.5,1,6.1
EE1943,5.8,3.1,1,5.3
EE1944,6.6,4.1,1,5.3
EE1945,4.3,2.4,1,5.2
EE1946,5,3.7,0,4.9
EE1947,5.7,3.8,1,7.2
EE1948,5.7,3.6,1,3.8
EE1949,2.7,2.9,1,7
EE1950,4.2,1.6,0,5.5
EE1951,4.8,3,0,8.1
EE1952,4.3,1.7,1,6.3
EE1953,4.4,1.9,1,4.9
EE1954,7,3.2,0,6.8
EE1955,5.3,2.9,0,7.4
EE1956,4.6,4.2,1,6.8
EE1957,3.8,2.5,0,5.8
EE1958,6.3,2.9,0,6.2
EE1959,4.8,4.4,1,5.2
EE1960,4,2.7,1,5.8
EE1961,4.2,3.7,1,7.2
EE1962,6.9,3.9,1,4.5
EE1963,4.1,3.5,1,6.7
EE1964,5.9,1.8,1,5.9
EE1965,5.1,3.1,1,5.6
EE1966,6.2,1.9,0,3.6
EE1967,5.9,3.3,1,4
EE1968,6.2,3,1,6.5
EE1969,4.1,2.9,0,5.4
EE1970,4.2,3,1,6.9
EE1971,4.6,3.5,1,6.4
EE1972,5.8,3.9,0,7.9
EE1973,6.6,2.7,0,5.6
EE1974,5.8,3.6,1,5.7
EE1975,5.5,3.4,1,5.3
EE1976,4.2,4.2,1,4.3
EE1977,4.4,2.9,0,6.4
EE1978,2.9,3.7,1,5.4
EE1979,5.9,3.6,0,4.6
EE1980,4.7,2.7,0,7.3
EE1981,2.1,1.8,1,6.4
EE1982,4.4,3,1,7.3
EE1983,4.3,3.2,1,5.9
EE1984,5.8,3.4,1,5.6
EE1985,4.5,2.3,0,5.3
EE1986,5.7,2.4,1,7.2
EE1987,5.8,3.1,0,5.7
EE1988,5.1,2.7,1,3
EE1989,5.7,4.8,1,5.7
EE1990,6.4,3.3,0,5.7
EE1991,4.3,1.8,1,5.6
EE1992,5.5,2.1,1,6.4
EE1993,2.5,2.3,0,3.9
EE1994,4.6,2.9,1,7
EE1995,6,3.8,0,4
EE1996,5.3,2.8,1,4.9
EE1997,6.3,3.1,1,5.9
EE1998,5.7,2.9,1,5.4
EE1999,3.8,3.4,0,7.5
EE2000,3.8,2.6,0,5.7
EE2001,3.7,3.2,0,4.8
EE2002,5.2,3.1,1,8.3
EE2003,4.7,3.3,0,4.1
EE2004,3.9,1,0,6.4
EE2005,7,4,1,6.2
EE2006,4.4,4.5,0,4.4
EE2007,4.4,1.3,1,4.5
EE2008,6,4,1,5.4
EE2009,5.3,1.6,1,5.2
EE2010,4.7,3,1,6.4
EE2011,5.5,2.5,0,6.1
EE2012,5.5,4.3,1,4.5
EE2013,4.9,3.1,0,5
EE2014,5.4,2.6,1,4.5
EE2015,6.2,3,0,5.9
EE2016,5.5,4.8,1,5.5
EE2017,5,3.3,1,5.2
EE2018,7,1.5,1,4.4
EE2019,2.8,3.2,1,3
EE2020,5.5,2.6,0,3.6
EE2021,3.8,1.4,1,5.5
EE2022,4.3,2.2,0,6.3
EE2023,4.2,2.3,1,6.4
EE2024,4.7,3.8,0,5
EE2025,4.1,2.8,1,4.9
EE2026,5.7,3.3,0,4.1
EE2027,6.9,2.9,0,6.5
EE2028,5.7,3.8,0,6
EE2029,5.2,3.6,1,6.8
EE2030,4,5,0,5.9
EE2031,4.3,2.7,0,4.9
EE2032,3,3,1,6.1
